time,server,avg_bitrate_mode_live,avg_bitrate_mode_vod
2025-01-12 20:00:30,ceimpe1-02,4403049.0,3167851.0
2025-01-12 20:00:30,ceimpe1-03,4178515.0,2136874.0
2025-01-12 20:00:30,ceimpe1-04,3885482.0,2757697.0
2025-01-12 20:00:30,ceimpe1-05,4230650.0,2928934.0
2025-01-12 20:00:30,ceimpe1-06,3470073.0,3130800.0
2025-01-12 20:00:30,ceimpe1-07,4102774.0,3146039.0
2025-01-12 20:00:30,ceimpe1-08,3900091.0,3064083.0
2025-01-12 20:00:30,ceimpe1-09,4114990.0,2851590.0
2025-01-12 20:00:30,ceimpe1-10,3727872.0,3170527.0
2025-01-12 20:00:30,ceimpe1-11,4131546.0,2653558.0
2025-01-12 20:00:30,ceimpe1-12,3788000.0,3080451.0
2025-01-12 20:00:30,ceimpe1-13,4090614.0,3136237.0
2025-01-12 20:00:30,ceimpe1-14,3743414.0,2904166.0
2025-01-12 20:00:30,ceimpe1-15,4301306.0,3226367.0
2025-01-12 20:00:30,ceimpe1-16,3121346.0,2728275.0
2025-01-12 20:00:30,ceimsm1-01,4012992.0,3560931.0
2025-01-12 20:00:30,ceimsm1-02,4160871.0,3747121.0
2025-01-12 20:00:30,ceimsm1-03,4084153.0,3977690.0
2025-01-12 20:00:30,ceimsm1-04,4010353.0,3751268.0
2025-01-12 20:00:30,ceimsm1-05,4065394.0,3897855.0
2025-01-12 20:00:30,ceimsm1-06,4107920.0,3662802.0
2025-01-12 20:00:30,ceimsm1-07,4076460.0,3429813.0
2025-01-12 20:00:30,ceimsm1-08,4183607.0,3770822.0
2025-01-12 20:00:30,ceimsm1-09,4309270.0,3618229.0
2025-01-12 20:00:30,ceimsm1-10,4295826.0,3530428.0
2025-01-12 20:00:30,ceimsm1-11,4303855.0,4164241.0
2025-01-12 20:00:30,ceimsm1-12,4127259.0,3836458.0
2025-01-12 20:00:30,ceimsm1-13,4161774.0,3713069.0
2025-01-12 20:00:30,ceimsm1-14,4248178.0,3410674.0
2025-01-12 20:00:30,ceimsm1-15,4298767.0,4267514.0
2025-01-12 20:00:30,ceimsm1-16,4162199.0,3813302.0
2025-01-12 20:00:30,ceimsm1-17,4171130.0,3826592.0
2025-01-12 20:00:30,ceimsm1-18,3972575.0,3591445.0
2025-01-12 20:00:30,codmno1-05,,8171919.0
2025-01-12 20:01:00,cecbep1-01,3810327.0,3212926.0
2025-01-12 20:01:00,cecbep1-02,3892380.0,3175156.0
2025-01-12 20:01:00,cecbep1-03,3802944.0,3106582.0
2025-01-12 20:01:00,cecbep1-04,3809657.0,3108634.0
2025-01-12 20:01:00,cecbep1-05,3829849.0,3155789.0
2025-01-12 20:01:00,cecbep1-06,3820530.0,3077507.0
2025-01-12 20:01:00,cecbep1-07,3688676.0,3251376.0
2025-01-12 20:01:00,cecbep1-08,3968079.0,2751673.0
2025-01-12 20:01:00,cecmaz1-01,3662907.0,2724356.0
2025-01-12 20:01:00,cecmaz1-02,3699256.0,1975631.0
2025-01-12 20:01:00,cecmaz1-03,3621246.0,2856570.0
2025-01-12 20:01:00,cecmaz1-04,3989083.0,1714838.0
2025-01-12 20:01:00,cecmaz1-05,3682010.0,2117086.0
2025-01-12 20:01:00,cecmaz1-06,3798648.0,1507754.0
2025-01-12 20:01:00,cecmaz1-07,3756082.0,2765319.0
2025-01-12 20:01:00,cecmaz1-08,3653242.0,2089734.0
2025-01-12 20:01:00,cecmsm1-01,3921293.0,2160345.0
2025-01-12 20:01:00,cecmsm1-02,4038385.0,2424313.0
2025-01-12 20:01:00,cecmsm1-03,3861073.0,2113933.0
2025-01-12 20:01:00,cecmsm1-04,3873793.0,2077169.0
2025-01-12 20:01:00,cecmsm1-05,3888020.0,2229757.0
2025-01-12 20:01:00,cecmsm1-06,4122493.0,1695980.0
2025-01-12 20:01:00,cecmsm1-07,4046396.0,1735419.0
2025-01-12 20:01:00,cecmsm1-08,3706217.0,1910393.0
2025-01-12 20:01:00,cefsbin3-01,4371214.0,2570603.0
2025-01-12 20:01:00,cefsbin3-02,4392647.0,2977180.0
2025-01-12 20:01:00,cefsbin3-03,4585599.0,2873238.0
2025-01-12 20:01:00,cefsbin3-04,4365101.0,1968423.0
2025-01-12 20:01:00,cefsbin3-05,4312614.0,2874136.0
2025-01-12 20:01:00,cefsbin3-06,4286884.0,3028625.0
2025-01-12 20:01:00,ceihta1-01,3878797.0,2291413.0
2025-01-12 20:01:00,ceihta1-02,3639642.0,2214294.0
2025-01-12 20:01:00,ceihta1-03,4050826.0,2193344.0
2025-01-12 20:01:00,ceihta1-04,4004287.0,2820900.0
2025-01-12 20:01:00,ceihta1-05,3657678.0,1541137.0
2025-01-12 20:01:00,ceihta1-06,4668216.0,2965535.0
2025-01-12 20:01:00,ceihta1-07,4317466.0,2915388.0
2025-01-12 20:01:00,ceihta1-08,3951251.0,1932864.0
2025-01-12 20:01:00,ceihta1-09,3628416.0,1593630.0
2025-01-12 20:01:00,ceihta1-10,3994009.0,2558918.0
2025-01-12 20:01:00,ceihta1-11,4284856.0,2463531.0
2025-01-12 20:01:00,ceihta1-12,4168337.0,1726784.0
2025-01-12 20:01:00,ceihta1-13,3876152.0,2490124.0
2025-01-12 20:01:00,ceihta1-14,3977938.0,1857165.0
2025-01-12 20:01:00,ceihta1-15,3798701.0,2196894.0
