time,server,req_live_dash,req_live_hls,req_live_smooth,req_vod_dash,req_vod_hls,req_vod_http,req_vod_iplus,req_vod_smooth,req_vod_unknown,req_live_unknown
2025-01-12 20:00:30,ceimno1-17,13165.0,1356.0,972.0,792.0,53.0,,,328.0,46.0,
2025-01-12 20:00:30,ceimno1-18,5888.0,2591.0,596.0,14021.0,267.0,,,566.0,160.0,
2025-01-12 20:00:30,ceimno1-19,19706.0,3654.0,2760.0,1649.0,155.0,,,1561.0,23040.0,
2025-01-12 20:00:30,ceimpe1-01,24278.0,471.0,1057.0,2572.0,159.0,,,433.0,,
2025-01-12 20:00:30,ceimpe1-02,17622.0,53.0,18789.0,3230.0,101.0,,,267.0,,
2025-01-12 20:00:30,ceimpe1-03,10743.0,3679.0,884.0,29522.0,70.0,,,1087.0,2.0,
2025-01-12 20:00:30,ceimpe1-04,26146.0,438.0,952.0,2179.0,143.0,,,695.0,32.0,
2025-01-12 20:00:30,ceimpe1-05,26226.0,829.0,1249.0,1653.0,132.0,,,468.0,60.0,
2025-01-12 20:00:30,ceimpe1-06,29398.0,3717.0,1500.0,3388.0,157.0,,,693.0,43.0,
2025-01-12 20:00:30,ceimpe1-07,21436.0,1175.0,1078.0,1545.0,132.0,,,616.0,5.0,
2025-01-12 20:00:30,ceimpe1-08,14612.0,7065.0,18148.0,2134.0,247.0,,,417.0,4.0,
2025-01-12 20:00:30,ceimpe1-09,26471.0,1190.0,994.0,1873.0,544.0,,,399.0,36.0,
2025-01-12 20:00:30,ceimpe1-10,25616.0,1840.0,1306.0,1048.0,123.0,,,257.0,2.0,
2025-01-12 20:00:30,ceimpe1-11,25219.0,1796.0,3351.0,1461.0,297.0,,,610.0,1.0,
2025-01-12 20:00:30,ceimpe1-12,21058.0,915.0,17004.0,914.0,55.0,,,343.0,24.0,
2025-01-12 20:00:30,ceimpe1-13,46765.0,3976.0,11463.0,1122.0,112.0,,,569.0,41.0,
2025-01-12 20:00:30,ceimpe1-14,50162.0,7166.0,3299.0,2008.0,61.0,,,545.0,382.0,
2025-01-12 20:00:30,ceimpe1-15,32067.0,5166.0,31425.0,1371.0,102.0,,,490.0,22.0,
