time,server,avgtotal
2025-01-12 21:15:00,cecbep1-01,3054011.0
2025-01-12 21:15:30,cecbep1-01,3044072.0
2025-01-12 21:16:00,cecbep1-01,3049772.0
2025-01-12 21:16:30,cecbep1-01,3107203.0
2025-01-12 21:17:00,cecbep1-01,3089618.0
2025-01-12 21:17:30,cecbep1-01,3070044.0
2025-01-12 21:18:00,cecbep1-01,3098537.0
2025-01-12 21:18:30,cecbep1-01,3077910.0
2025-01-12 21:19:00,cecbep1-01,3057490.0
2025-01-12 21:19:30,cecbep1-01,3057696.0
2025-01-12 21:20:00,cecbep1-01,3090105.0
2025-01-12 21:20:30,cecbep1-01,3046635.0
2025-01-12 21:21:00,cecbep1-01,3065395.0
2025-01-12 21:21:30,cecbep1-01,3069449.0
2025-01-12 21:22:00,cecbep1-01,3049325.0
2025-01-12 21:22:30,cecbep1-01,3094107.0
2025-01-12 21:23:00,cecbep1-01,3080599.0
2025-01-12 21:23:30,cecbep1-01,3076054.0
2025-01-12 21:24:00,cecbep1-01,3017419.0
2025-01-12 21:24:30,cecbep1-01,3060910.0
2025-01-12 21:25:00,cecbep1-01,3082128.0
2025-01-12 21:25:30,cecbep1-01,3016818.0
2025-01-12 21:26:00,cecbep1-01,3034047.0
2025-01-12 21:26:30,cecbep1-01,3060353.0
2025-01-12 21:27:00,cecbep1-01,3074832.0
2025-01-12 21:27:30,cecbep1-01,3047701.0
2025-01-12 21:28:00,cecbep1-01,3023072.0
2025-01-12 21:28:30,cecbep1-01,3017464.0
2025-01-12 21:29:00,cecbep1-01,3033850.0
2025-01-12 21:29:30,cecbep1-01,2995686.0
2025-01-12 21:30:00,cecbep1-01,3016200.0
2025-01-12 21:30:30,cecbep1-01,3042162.0
2025-01-12 21:31:00,cecbep1-01,3017547.0
2025-01-12 21:31:30,cecbep1-01,3012947.0
2025-01-12 21:32:00,cecbep1-01,2995915.0
2025-01-12 21:32:30,cecbep1-01,3049992.0
2025-01-12 21:33:00,cecbep1-01,3008408.0
2025-01-12 21:33:30,cecbep1-01,3020417.0
2025-01-12 21:34:00,cecbep1-01,3047232.0
2025-01-12 21:34:30,cecbep1-01,3026090.0
2025-01-12 21:35:00,cecbep1-01,3052067.0
2025-01-12 21:35:30,cecbep1-01,3030435.0
2025-01-12 21:36:00,cecbep1-01,3017430.0
2025-01-12 21:36:30,cecbep1-01,3059944.0
2025-01-12 21:37:00,cecbep1-01,3044642.0
2025-01-12 21:37:30,cecbep1-01,3031833.0
2025-01-12 21:38:00,cecbep1-01,3056691.0
2025-01-12 21:38:30,cecbep1-01,3048764.0
2025-01-12 21:39:00,cecbep1-01,3063966.0
2025-01-12 21:39:30,cecbep1-01,3041398.0
2025-01-12 21:40:00,cecbep1-01,3010776.0
2025-01-12 21:40:30,cecbep1-01,3054148.0
2025-01-12 21:41:00,cecbep1-01,3051027.0
2025-01-12 21:41:30,cecbep1-01,3071503.0
2025-01-12 21:42:00,cecbep1-01,3036444.0
2025-01-12 21:42:30,cecbep1-01,3063365.0
2025-01-12 21:43:00,cecbep1-01,3068058.0
2025-01-12 21:43:30,cecbep1-01,3079160.0
2025-01-12 21:44:00,cecbep1-01,3103698.0
2025-01-12 21:44:30,cecbep1-01,3075846.0
2025-01-12 21:45:00,cecbep1-01,2705887.0
2025-01-12 21:45:30,cecbep1-01,3078167.0
2025-01-12 21:46:00,cecbep1-01,3061373.0
2025-01-12 21:46:30,cecbep1-01,3086282.0
2025-01-12 21:47:00,cecbep1-01,3055421.0
2025-01-12 21:47:30,cecbep1-01,3086005.0
2025-01-12 21:48:00,cecbep1-01,3112010.0
2025-01-12 21:48:30,cecbep1-01,3051357.0
2025-01-12 21:49:00,cecbep1-01,3046949.0
2025-01-12 21:49:30,cecbep1-01,3081930.0
2025-01-12 21:50:00,cecbep1-01,3064840.0
2025-01-12 21:50:30,cecbep1-01,3036863.0
2025-01-12 21:51:00,cecbep1-01,3066284.0
2025-01-12 21:51:30,cecbep1-01,3080598.0
2025-01-12 21:52:00,cecbep1-01,3077858.0
2025-01-12 21:52:30,cecbep1-01,3088388.0
2025-01-12 21:53:00,cecbep1-01,3054159.0
2025-01-12 21:53:30,cecbep1-01,3064344.0
2025-01-12 21:54:00,cecbep1-01,3035656.0
2025-01-12 21:54:30,cecbep1-01,3072677.0
2025-01-12 21:55:00,cecbep1-01,3043157.0
2025-01-12 21:55:30,cecbep1-01,3077665.0
2025-01-12 21:56:00,cecbep1-01,3120610.0
2025-01-12 21:56:30,cecbep1-01,3070723.0
2025-01-12 21:57:00,cecbep1-01,3073695.0
2025-01-12 21:57:30,cecbep1-01,3117912.0
2025-01-12 21:58:00,cecbep1-01,3100266.0
2025-01-12 21:58:30,cecbep1-01,3078802.0
2025-01-12 21:59:00,cecbep1-01,3092252.0
2025-01-12 21:59:30,cecbep1-01,3142167.0
2025-01-12 22:00:00,cecbep1-01,3120513.0
2025-01-12 22:00:30,cecbep1-01,3154574.0
2025-01-12 20:00:00,cecbep1-02,3468508.0
2025-01-12 20:00:30,cecbep1-02,3445910.0
2025-01-12 20:01:00,cecbep1-02,3482538.0
2025-01-12 20:01:30,cecbep1-02,3451100.0
2025-01-12 20:02:00,cecbep1-02,3438416.0
2025-01-12 20:02:30,cecbep1-02,3460269.0
2025-01-12 20:03:00,cecbep1-02,3457276.0
2025-01-12 20:03:30,cecbep1-02,3471694.0
2025-01-12 20:04:00,cecbep1-02,3453800.0
2025-01-12 20:04:30,cecbep1-02,3445378.0
2025-01-12 20:05:00,cecbep1-02,3464790.0
2025-01-12 20:05:30,cecbep1-02,3430908.0
2025-01-12 20:06:00,cecbep1-02,3504408.0
2025-01-12 20:06:30,cecbep1-02,3506810.0
2025-01-12 20:07:00,cecbep1-02,3441184.0
2025-01-12 20:07:30,cecbep1-02,3469187.0
