time,server,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_http_vod,avg_bitrate_protocol_iplus_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_live,avg_bitrate_protocol_unknown_vod
2025-01-12 20:00:00,ceimno1-11,4262467.0,1872319.0,1874656.0,2604170.0,,,5880636.0,5256224.0,,0.0
2025-01-12 20:00:00,ceimno1-12,4452856.0,6130910.0,2081946.0,1993193.0,,,5278977.0,4636812.0,,0.0
2025-01-12 20:00:00,ceimno1-13,0.0,4000000.0,2000000.0,2000000.0,,,6000000.0,,,
2025-01-12 20:00:00,ceimno1-14,4505576.0,5506346.0,2079259.0,2142483.0,,,5798851.0,5333603.0,,0.0
2025-01-12 20:00:00,ceimno1-15,4423144.0,5589089.0,2107449.0,2455496.0,,,5808551.0,5144693.0,,0.0
2025-01-12 20:00:00,ceimno1-16,4452771.0,5671988.0,2046739.0,2074675.0,,,5806886.0,5189240.0,,0.0
2025-01-12 20:00:00,ceimno1-17,4302863.0,6172496.0,2155956.0,2338889.0,,,5846405.0,5143370.0,,0.0
2025-01-12 20:00:00,ceimno1-18,4437346.0,340440.0,2458970.0,2463768.0,,,5798324.0,5204677.0,,0.0
2025-01-12 20:00:00,ceimno1-19,4275127.0,6255548.0,2107542.0,2275000.0,,,5698966.0,4991187.0,,0.0
2025-01-12 20:00:00,ceimpe1-01,4768570.0,2691720.0,2546653.0,2011042.0,,,5805528.0,4982608.0,,0.0
2025-01-12 20:00:00,ceimpe1-02,4795714.0,2045628.0,3522222.0,2250001.0,,,5518223.0,5106713.0,,0.0
2025-01-12 20:00:00,ceimpe1-03,4651940.0,208385.0,2435003.0,3175342.0,,,5504759.0,4931224.0,,
2025-01-12 20:00:00,ceimpe1-04,4322627.0,3908213.0,2280459.0,2503185.0,,,5213973.0,5058380.0,,0.0
